Company,IsUS,Location HQ,Industry,Number Laid Off,Date of Layoff,Source,Dollars Raised (mil),Stage,Country,Percentage,List of Employees Laid Off,Ticker,Exchange,Stock Delisted
Nerdy,TRUE,St. Louis,Education,,12/8/2022,https://www.bizjournals.com/stlouis/news/2022/12/08/online-tutoring-firm-nerdy-slashes.html,150,Post-IPO,United States,0.17,,NRDY,NYSE,FALSE
Vanta,TRUE,SF Bay Area,Security,,12/8/2022,LinkedIn,203,Series B,United States,0.14,,,,
Vedantu,FALSE,Bengaluru,Education,385,12/7/2022,https://economictimes.indiatimes.com/tech/startups/edtech-firm-vedantu-cuts-385-jobs-in-fourth-round-of-layoffs-this-year/articleshow/96060595.cms,292,Series E,India,,,,,
Loft,FALSE,Sao Paulo,Real Estate,312,12/7/2022,https://www.bloomberglinea.com/english/brazilian-unicorn-loft-sheds-12-of-staff-in-third-wave-of-layoffs-this-year/,788,Unknown,Brazil,0.12,,,,
Plaid,TRUE,SF Bay Area,Finance,260,12/7/2022,https://techcrunch.com/2022/12/07/plaid-layoff-fintech/,734,Series D,United States,0.2,,,,
Motive,TRUE,SF Bay Area,Transportation,237,12/7/2022,https://gomotive.com/blog/shoaib-makanis-message-to-employees/,567,Series F,United States,0.06,,,,
Recur Forever,TRUE,Miami,Crypto,235,12/7/2022,https://www.classaction.org/news/recur-forever-laid-off-workers-without-proper-notice-class-action-says,55,Series A,United States,,,,,
Relativity,TRUE,Chicago,Legal,150,12/7/2022,https://www.chicagobusiness.com/technology/software-firm-relativity-cuts-10-staff,125,Private Equity,United States,0.1,,,,
Voi,FALSE,Stockholm,Transportation,130,12/7/2022,https://www.breakit.se/artikel/35283/voi-tvingas-drar-ner-igen-vi-ar-mycket-ledsna,515,Series D,United States,0.13,,,,
Integral Ad Science,TRUE,New York City,Marketing,120,12/7/2022,https://investors.integralads.com/node/7871/html,116,Acquired,United States,0.13,,,,
Houzz,TRUE,SF Bay Area,Consumer,95,12/7/2022,https://en.globes.co.il/en/article-houzz-lays-off-100-in-us-and-israel-1001433310,613,Series E,United States,0.08,,,,
Grover,FALSE,Berlin,Retail,40,12/7/2022,https://www.businessinsider.de/gruenderszene/business/entlassungen-bei-berliner-neu-unicorn-grover/?fbclid=IwAR3o2sB8MmcX3_y8HaAeRqIUU2T8YNYokRDZz5Nxkr0BjzhYRs84fR2hrW8,2300,Unknown,United States,0.1,,,,
Lev,TRUE,New York City,Real Estate,30,12/7/2022,https://therealdeal.com/2022/12/07/cre-finance-platform-lev-lays-off-chunk-of-staff/,114,Series B,United States,0.3,,,,
Lithic,TRUE,New York City,Finance,27,12/7/2022,https://www.axios.com/pro/fintech-deals/2022/12/07/fintech-lithic-lays-off-27,115,Series C,United States,0.18,,,,
CircleCI,TRUE,SF Bay Area,Product,,12/7/2022,https://circleci.com/blog/ceo-jim-rose-email-to-circleci-employees/,315,Series F,United States,0.17,,,,
Detectify,FALSE,Stockholm,Security,,12/7/2022,https://www.breakit.se/artikel/34958/anstallda-far-ga-fran-detectify-tog-nyligen-in-108-miljoner,42,Unknown,Sweden,,,,,
Sayurbox,FALSE,Jakarta,Food,,12/7/2022,https://www.techinasia.com/sayurbox-lays-off-2022,139,Series C,Indonesia,0.05,,,,
Zywave,TRUE,Milwaukee,Finance,,12/7/2022,https://www.bizjournals.com/milwaukee/news/2022/12/07/zywave-layoffs-growth-slows.html,,Acquired,United States,,,,,
Doma,TRUE,SF Bay Area,Finance,515,12/6/2022,https://investor.doma.com/node/8161/html,679,Post-IPO,United States,0.4,,DOMA,NYSE,FALSE
Intel,TRUE,SF Bay Area,Hardware,201,12/6/2022,https://www.crn.com/news/computing/intel-begins-layoffs-in-california-voluntary-unpaid-leave-program,12,Post-IPO,United States,,,INTC,NASDAQ,FALSE
BuzzFeed,TRUE,New York City,Media,180,12/6/2022,https://variety.com/2022/digital/news/buzzfeed-layoffs-12-percent-employees-1235451552/,696,Post-IPO,United States,0.12,,BZFD,NASDAQ,FALSE
Weedmaps,TRUE,Los Angeles,Other,175,12/6/2022,https://www.businessinsider.com/weedmaps-cannabis-company-layoffs-cutting-workforce-2022-12,,Acquired,United States,0.25,,,,
Adobe,TRUE,SF Bay Area,Marketing,100,12/6/2022,https://www.bloomberg.com/news/articles/2022-12-06/adobe-cuts-100-jobs-concentrated-in-sales-as-tech-tightens-belt,2,Post-IPO,United States,,,ADBE,NASDAQ,FALSE
Chipper Cash,TRUE,SF Bay Area,Finance,50,12/6/2022,https://techcrunch.com/2022/12/06/african-fintech-unicorn-chipper-cash-lays-off-about-12-5-of-staff/,302,Series C,United States,0.125,,,,
Stash,TRUE,New York City,Finance,32,12/6/2022,https://lp.stash.com/news/saying-goodbye-to-some-of-our-colleagues-and-looking-towards-the-future/,480,Unknown,United States,0.08,,,,
Perimeter 81,FALSE,Tel Aviv,Security,20,12/6/2022,https://www.calcalistech.com/ctechnews/article/hjgmdpnws,165,Series C,Israel,0.08,,,,
Koinly,FALSE,London,Crypto,16,12/6/2022,https://blockworks.co/news/crypto-tax-startup-koinly-cuts-staffers-just-in-time-for-tax-season,,Unknown,United Kingdom,0.14,,,,
Bridgit,FALSE,Waterloo,Construction,13,12/6/2022,https://www.therecord.com/news/waterloo-region/2022/12/06/some-startups-scaling-back-as-investment-shrinks.html,36,Series B,Canada,0.13,,,,
Filevine,TRUE,Salt Lake City,Legal,,12/6/2022,https://www.axios.com/local/salt-lake-city/2022/12/15/utah-tech-layoffs-silicon-slopes-losing-workers,226,Series D,United States,,,,,
Moove,FALSE,Lagos,Transportation,,12/6/2022,https://techpoint.africa/2022/12/06/moove-layoffs,630,Unknown,Nigeria,,,,,
Nextiva,TRUE,Phoenix,Other,,12/6/2022,https://www.channelfutures.com/business-models/nextiva-layoffs-impact-17-of-workforce-including-partner-development-leader-hilary-gadda,200,Private Equity,United States,0.17,,,,
OneStudyTeam,TRUE,Boston,Healthcare,,12/6/2022,https://www.mobihealthnews.com/news/onestudyteam-lays-about-quarter-its-workforce,479,Series D,United States,0.25,,,,
Zuora,TRUE,SF Bay Area,Finance,,12/6/2022,https://www.morningstar.com/news/marketwatch/20221206496/zuora-beats-on-earnings-but-misses-on-outlook-while-announcing-layoffs,647,Post-IPO,United States,0.11,,ZUO,NYSE,FALSE
Swyftx,FALSE,Brisbane,Crypto,90,12/5/2022,https://www.smh.com.au/business/companies/worst-case-scenario-local-crypto-exchange-swyftx-lays-off-40-percent-of-staff-20221205-p5c3mu.html,,Unknown,Australia,0.4,,,,
Aqua Security,TRUE,Boston,Security,65,12/5/2022,https://www.calcalistech.com/ctechnews/article/s1uxohjvs,265,Series E,United States,0.1,,,,
DataRails,FALSE,Tel Aviv,Finance,30,12/5/2022,https://www.calcalistech.com/ctechnews/article/s1ka1tjvj,103,Series B,Israel,0.18,,,,
Elemy,TRUE,SF Bay Area,Healthcare,,12/5/2022,https://bhbusiness.com/2022/12/05/elemy-lays-off-staff-as-it-winds-down-direct-care-for-platform-business/,323,Series B,United States,,,,,
Route,TRUE,Lehi,Retail,,12/5/2022,https://www.sltrib.com/news/2022/12/06/2-more-utah-tech-companies-each/,481,Unknown,United States,,,,,
Thinkific,FALSE,Vancouver,Education,,12/5/2022,https://techcouver.com/2022/12/05/rebound-thinkific-labs-layoffs/,22,Post-IPO,Canada,,,THNC.TO,Toronto,FALSE
OYO,FALSE,Gurugram,Travel,600,12/3/2022,https://www.livemint.com/companies/news/oyo-to-layoff-600-execs-across-technology-teams-hire-250-for-sales-11670056711013.html,4000,Series F,India,,,,,
HealthifyMe,TRUE,Bengaluru,Fitness,150,12/3/2022,https://inc42.com/buzz/fitness-healthtech-startup-healthifyme-lays-off-150-employees/,100,Series C,India,,,,,
Bybit,FALSE,Singapore,Crypto,,12/3/2022,https://cointelegraph.com/news/bybit-announces-second-round-of-layoffs-in-2022-to-survive-bear-market,,Unknown,Singapore,0.3,,,,
Cognyte,FALSE,Tel Aviv,Security,100,12/2/2022,https://www.globes.co.il/news/article.aspx?did=1001431603,,Unknown,Israel,0.05,,,,
ShareChat,FALSE,Bengaluru,Consumer,100,12/2/2022,https://www.india.com/business/sharechat-layoff-to-effect-over-100-employees-winds-down-fantasy-sport-app-jeet11-sahrechat-sacks-workforce-latest-news-5777356/,1700,Unknown,India,,,,,
Polly,TRUE,Burlington,Finance,47,12/2/2022,https://vtdigger.org/2022/12/02/williston-based-insurance-tech-startup-polly-lays-off-47-employees/,184,Series C,United States,0.15,,,,
Homebound,TRUE,SF Bay Area,Real Estate,,12/2/2022,Internal memo,128,Unknown,United States,,,,,
Lora DiCarlo,TRUE,Bend,Consumer,,12/2/2022,https://techcrunch.com/2022/12/02/looks-like-sextech-startup-lora-dicarlo-is-done-for/,9,Unknown,United States,1,,,,
Carousell,FALSE,Singapore,Retail,110,12/1/2022,https://www.straitstimes.com/singapore/jobs/carousell-cuts-110-jobs-to-rein-in-costs,372,Private Equity,Singapore,0.1,,,,
Bizzabo,TRUE,New York City,Marketing,100,12/1/2022,https://www.calcalistech.com/ctechnews/article/h1ajz9idj,194,Series E,United States,0.37,,,,
BloomTech,TRUE,SF Bay Area,Education,88,12/1/2022,https://techcrunch.com/2022/12/01/bloomtech-previously-lambda-school-cuts-half-of-staff/,,Unknown,United States,0.5,,,,
Netlify,TRUE,SF Bay Area,Product,48,12/1/2022,Internal memo,212,Series D,United States,0.16,,,,
Springbig,TRUE,Miami,Sales,37,12/1/2022,https://mjbizdaily.com/marijuana-software-firm-springbig-laying-off-nearly-25-percent-of-workforce/,32,Post-IPO,United States,0.23,,SBIG,NASDAQ,TRUE
Podium,TRUE,Lehi,Support,,12/1/2022,https://www.businessinsider.com/podium-layoffs-customer-management-startup-2022-12,419,Series D,United States,0.12,,,,
SQZ Biotech,TRUE,Boston,Healthcare,,12/1/2022,https://www.fiercebiotech.com/biotech/sqz-ceo-exits-biotech-axes-60-staff-synlogic-succumbs-layoff-pressure,229,Post-IPO,United States,0.6,,SQZB,OTCMKTS,FALSE
Strava,TRUE,SF Bay Area,Fitness,,12/1/2022,https://www.bicycleretailer.com/industry-news/2022/12/05/layoffs-affect-about-15-staff-strava#.Y5Jcu-zMK8A,151,Series F,United States,0.14,,,,
Synlogic,TRUE,Boston,Healthcare,,12/1/2022,https://www.fiercebiotech.com/biotech/sqz-ceo-exits-biotech-axes-60-staff-synlogic-succumbs-layoff-pressure,321,Post-IPO,United States,0.25,,SYBX,NASDAQ,FALSE
Yapily,FALSE,London,Finance,,12/1/2022,https://www.linkedin.com/posts/yapily_a-message-from-our-founder-and-ceo-ensuring-activity-7004119711693066240-ZeUT/,69,Series A,United Kingdom,,,,,
DoorDash,TRUE,SF Bay Area,Food,1250,11/30/2022,https://www.reuters.com/business/retail-consumer/doordash-cuts-1250-jobs-an-effort-rein-expenses-2022-11-30/,2500,Post-IPO,United States,0.06,,DASH,NASDAQ,FALSE
Kraken,TRUE,SF Bay Area,Crypto,1100,11/30/2022,https://blog.kraken.com/post/16442/business-update/,134,Unknown,United States,0.3,,,,
Happy Money,TRUE,Los Angeles,Finance,158,11/30/2022,Internal memo,191,Series D,United States,0.34,,,,
Ula,FALSE,Jakarta,Retail,134,11/30/2022,https://dailysocial.id/post/ula-layoff-2022,140,Series B,Indonesia,0.23,,,,
Wonder,TRUE,New York City,Food,130,11/30/2022,https://www.theinformation.com/articles/marc-lores-kitchen-on-wheels-startup-cuts-staff-dials-back-delivery-ambitions,850,Series B,United States,0.07,,,,
StudySmarter,FALSE,Berlin,Education,70,11/30/2022,https://www.startbase.de/news/studysmarter-entlaesst-etwa-70-mitarbeitende/,64,Series A,Germany,,,,,
Grin,TRUE,Sacramento,Marketing,60,11/30/2022,https://www.theinformation.com/briefings/influencer-marketing-startup-grin-lays-off-60-employees,145,Series B,United States,0.13,,,,
Ualá,FALSE,Buenos Aires,Finance,53,11/30/2022,https://www.perfil.com/noticias/economia/empresa-uala-despidio-medio-centenar-trabajadores.phtml,544,Series D,Argentina,0.03,,,,
Teachmint,FALSE,Bengaluru,Education,45,11/30/2022,https://inc42.com/buzz/edtech-startup-teachmint-lays-off-45-employees/,118,Series B,India,0.05,,,,
Etermax,FALSE,Buenos Aires,Other,40,11/30/2022,https://www.clarin.com/economia/despidos-reestructuracion-tecnologicas-empresas-achican-pasar-2023_0_uxSUuShZhQ.html,,Unknown,Argentina,,,,,
Thread,FALSE,London,Retail,30,11/30/2022,https://www.drapersonline.com/news/ms-acquires-thread-intellectual-property,40,Acquired,United Kingdom,0.5,,,,
Nexar,TRUE,New York City,Transportation,25,11/30/2022,https://www.calcalistech.com/ctechnews/article/rktq3gqc3,149,Series D,United States,,,,,
Elastic,TRUE,SF Bay Area,Data,,11/30/2022,https://www.elastic.co/blog/ceo-ash-kulkarni-email-to-elastic-employees,162,Post-IPO,United States,0.13,,ESTC,NYSE,FALSE
Motional,TRUE,Boston,Transportation,,11/30/2022,https://techcrunch.com/2022/12/01/hyundai-aptiv-backed-av-startup-motional-cuts-workforce/,,Unknown,United States,,,,,
Pinterest,TRUE,SF Bay Area,Consumer,,11/30/2022,https://www.theinformation.com/briefings/pinterest-cuts-recruiting-team-slows-hiring,1500,Post-IPO,United States,,,PINS,NYSE,FALSE
Sana,TRUE,Seattle,Healthcare,,11/30/2022,https://www.fiercebiotech.com/biotech/sana-lays-15-trims-pipeline-keep-funding-flowing-shelf-car-ts,700,Series A,United States,0.15,,,,
Venafi,TRUE,Salt Lake City,Security,,11/30/2022,https://www.axios.com/local/salt-lake-city/2022/12/15/utah-tech-layoffs-silicon-slopes-losing-workers,167,Acquired,United States,,,,,
Bitso,FALSE,Mexico City,Crypto,100,11/29/2022,https://portaldobitcoin.uol.com.br/corretora-de-criptomoedas-bitso-faz-segunda-rodada-de-demissoes-no-brasil-e-no-mexico/,378,Series C,Mexico,,,,,
Lyst,FALSE,London,Retail,50,11/29/2022,https://techcrunch.com/2022/11/29/lyst-the-uk-fashion-marketplace-is-laying-off-25-of-staff/,144,Unknown,United Kingdom,0.25,,,,
CoinJar,FALSE,Melbourne,Crypto,10,11/29/2022,https://www.theaustralian.com.au/business/technology/melbourne-crypto-startup-coinjar-axes-20pc-of-workforce/news-story/485648b4b36a538ff7c00287adb57d5a,1,Unknown,Australia,0.2,,,,
Bitfront,TRUE,SF Bay Area,Crypto,,11/29/2022,https://www.reuters.com/technology/crypto-exchange-bitfront-shuts-down-2022-11-29/,,Unknown,United States,1,,,,
Codexis,TRUE,SF Bay Area,Healthcare,,11/29/2022,https://www.codexis.com/investors/news-events/press-releases/detail/342/codexis-provides-update-on-prioritized-corporate-strategy,162,Post-IPO,United States,0.18,,CDXS,NASDAQ,FALSE
Firework,TRUE,SF Bay Area,Retail,,11/29/2022,https://www.theinformation.com/articles/live-shopping-startup-firework-lays-off-10-of-staff,269,Series B,United States,0.1,,,,
Lazerpay,FALSE,Lagos,Crypto,,11/29/2022,https://techpoint.africa/2022/11/29/lazerpay-starts-layoff,,Unknown,Nigeria,,,,,
MessageBird,FALSE,Amsterdam,Other,,11/29/2022,https://tech.eu/2022/11/29/messagebird-lay-offs-close-to-a-third-of-the/,1100,Series C,Netherlands,0.31,,,,
Plerk,FALSE,Guadalajara,Finance,,11/29/2022,https://www.linkedin.com/posts/mikemedina20_hoy-es-uno-de-los-momentos-m%C3%A1s-complicados-activity-7003406809403170817-N_Hf/,13,Series A,Mexico,0.4,,,,
Proton.ai,TRUE,Boston,Sales,,11/29/2022,https://docs.google.com/spreadsheets/d/15EHi8nTiILQk6xztU5LSIcuUm-XhRQm52U-GNvPGrWg/edit#gid=0,20,Series A,United States,,,,,
Infarm,FALSE,Berlin,Other,500,11/28/2022,https://www.infarm.com/news/note-from-infarm-s-founders-strategy-shift-and-profitability-at-infarm,604,Series D,Germany,0.5,,,,
Wildlife Studios,FALSE,Sao Paulo,Consumer,300,11/28/2022,https://mobilegamer.biz/massive-layoffs-at-wildlife-as-it-drops-all-non-mobile-game-projects/,260,Unknown,Brazil,0.2,,,,
Hirect,FALSE,Bengaluru,Recruiting,200,11/28/2022,https://www.livemint.com/companies/start-ups/startup-direct-hiring-platform-hirect-fires40ofworkforce-11669662447280.html,,Series A,India,0.4,,,,
ApplyBoard,FALSE,Waterloo,Education,90,11/28/2022,https://www.therecord.com/news/waterloo-region/2022/11/28/applyboard-lays-off-six-per-cent-of-its-workforce.html,483,Series D,Canada,0.06,,,,
Ajaib,FALSE,Jakarta,Finance,67,11/28/2022,https://www.techinasia.com/indonesian-investment-platform-ajaib-lays-8-headcount,245,Unknown,Indonesia,0.08,,,,
Candy Digital,TRUE,New York City,Crypto,33,11/28/2022,https://decrypt.co/115811/gary-vee-sports-nft-candy-digital-mass-layoffs,100,Series A,United States,0.33,,,,
ResearchGate,FALSE,Berlin,Other,25,11/28/2022,https://www.linkedin.com/posts/ijad-madisch-4428229_today-we-are-reducing-the-size-of-the-researchgate-activity-7002973716632502273-7jum/,87,Series D,Germany,0.1,,,,
BlockFi,TRUE,New York City,Crypto,,11/28/2022,https://decrypt.co/115744/crypto-lender-blockfi-files-bankruptcy-ftx-contagion-claims-another,1000,Series E,United States,1,,,,
FutureLearn,FALSE,London,Education,,11/28/2022,https://www.classcentral.com/report/futurelearn-layoffs/,50,Unknown,United Kingdom,,,,,
Inspectify,TRUE,Seattle,Real Estate,,11/28/2022,https://www.bizjournals.com/seattle/news/2022/11/28/inspectify-layoffs-seattle-real-estate-tech.html,11,Series A,United States,,,,,
Ledn,FALSE,Toronto,Crypto,,11/28/2022,https://www.theblock.co/post/190436/crypto-lender-ledn-lays-off-chief-commercial-officer-in-latest-industry-job-cuts,103,Series B,Canada,,,,,
NCX,TRUE,SF Bay Area,Energy,,11/28/2022,https://ncx.com/learning-hub/an-update-from-ncx-co-founders-zack-parisa-and-max-nova/,78,Series B,United States,0.4,,,,
Spora Health,TRUE,SF Bay Area,Healthcare,,11/28/2022,https://www.businessinsider.com/spora-health-startup-closed-laid-off-workers-2023-10,4,Seed,United States,1,,,,
Change Invest,FALSE,Amsterdam,Finance,,11/27/2022,https://arileht.delfi.ee/artikkel/120105494/jarjekordne-eesti-idufirma-koondab-veerandi-oma-tootajatest,22,Unknown,Netherlands,0.24,,,,
Zilch,FALSE,London,Finance,,11/26/2022,https://www.standard.co.uk/business/london-fintech-unicorn-zilch-poised-to-begin-wave-of-layoffs-as-downturn-hits-buy-now-pay-later-sector-b1042587.html,389,Unknown,United Kingdom,,,,,
VerSe Innovation,FALSE,Bengaluru,Media,150,11/25/2022,https://techcrunch.com/2022/11/28/verse-innovation-layoff-salary-cut/,1700,Series J,India,0.05,,,,
Carwow,FALSE,London,Transportation,70,11/25/2022,https://www.ft.com/content/19150de3-bbd4-42b3-acbd-52b228dc1bf1,157,Unknown,United Kingdom,0.2,,,,
Vendease,FALSE,Lagos,Food,27,11/25/2022,https://techcabal.com/2022/11/25/nigerian-food-procurement-platform-vendease-lays-off-9-of-its-workforce/,43,Series A,Nigeria,0.09,,,,
Lemon,FALSE,Buenos Aires,Crypto,100,11/24/2022,https://www.forbesargentina.com/innovacion/lemon-despide-tercio-sus-empleados-anuncia-nuevo-foco-compania-sea-mas-sostenible-n25358,17,Series A,Argentina,0.38,,,,
Quidax,FALSE,Lagos,Crypto,20,11/24/2022,https://techcabal.com/2022/11/24/nigerian-crypto-exchange-quidax-lays-off-20-of-its-workforce/,3,Unknown,Nigeria,0.2,,,,
Menulog,FALSE,Sydney,Food,,11/24/2022,https://www.smh.com.au/technology/difficult-decision-menulog-cuts-jobs-in-australia-20221124-p5c111.html,,Acquired,Australia,,,,,
Utopia Music,FALSE,Zug,Media,,11/24/2022,https://www.musicbusinessworldwide.com/utopia-music-makes-layoffs-as-it-downsizes-global-team/,,Series B,Switzerland,,,,,
Assure,TRUE,Salt Lake City,Finance,,11/23/2022,https://www.axios.com/2022/11/23/assure-shutdown-fintech-startup-investing,2,Seed,United States,1,,,,
GoodGood,FALSE,Toronto,Retail,,11/23/2022,https://betakit.com/one-year-after-raising-6-5-million-goodgood-shuts-down-claiming-it-cant-find-more-money/,6,Seed,Canada,1,,,,
Muni Tienda,FALSE,Bogota,Other,,11/23/2022,https://www.bloomberglinea.com/2022/11/24/startup-colombiana-cierra-ante-la-imposibilidad-de-levantar-mas-capital/,20,Series A,Colombia,1,,,,
SWVL,FALSE,Cairo,Transportation,,11/23/2022,https://techcrunch.com/2022/11/28/swvl-reduces-its-headcount-by-50-six-months-after-axing-400-staff/,264,Post-IPO,Egypt,0.5,,SWVL,NASDAQ,FALSE
Western Digital,TRUE,SF Bay Area,Hardware,251,11/22/2022,https://www.bizjournals.com/sanjose/news/2022/11/22/western-digital-latest-valley-company-with-layoffs.html,900,Post-IPO,United States,,,WDC,NASDAQ,FALSE
SIRCLO,FALSE,Jakarta,Retail,160,11/22/2022,https://dailysocial.id/post/sirclo-layoff-2022,92,Series B,Indonesia,0.08,,,,
Movidesk,FALSE,Blumenau,Support,118,11/22/2022,https://startups.com.br/noticias/zenvia-faz-limpa-na-movidesk-e-demite-118-funcionarios/,11,Acquired,Brazil,,,,,
Trax,FALSE,Singapore,Retail,80,11/22/2022,https://www.themarker.com/technation/2022-11-22/ty-article/.premium/00000184-9f73-d710-a7c6-df731af70000,1000,Series E,Singapore,0.08,,,,
Flash Coffee,FALSE,Singapore,Food,,11/22/2022,https://www.businesstimes.com.sg/startups-tech/startups/rocket-internet-backed-flash-coffee-lays-staff-across-markets,57,Series B,Singapore,,,,,
Natera,TRUE,SF Bay Area,Healthcare,,11/22/2022,https://www.bizjournals.com/sanjose/news/2022/11/22/peninsula-biotechs-cutting-dozens-of-jobs.html,809,Post-IPO,United States,,,NTRA,NASDAQ,FALSE
Rapyd,FALSE,Tel Aviv,Finance,,11/22/2022,https://en.globes.co.il/en/article-israeli-fintech-co-rapyd-to-lay-off-dozens-1001430704,770,Unknown,Israel,,,,,
Reynen Court,FALSE,Amsterdam,Legal,,11/22/2022,https://www.lawnext.com/2022/11/reynen-court-app-store-of-legal-reduces-staff-tells-vendors-they-could-see-service-delays.html,23,Unknown,Netherlands,,,,,
Jumia,FALSE,Lagos,Retail,900,11/21/2022,https://techcrunch.com/2023/02/16/jumia-laid-off-20-of-staff-in-q4-2022-amid-work-to-reduce-losses-by-half-this-year/,1200,Post-IPO,Nigeria,0.2,,JMIA,NYSE,FALSE
Kitopi,FALSE,Dubai,Food,93,11/21/2022,https://www.arabianbusiness.com/jobs/dubai-unicorn-kitopi-sacks-93-head-office-staff-as-tech-industry-slumps,804,Series C,United States,0.1,,,,
Devo,TRUE,Boston,Security,,11/21/2022,https://tekdeeps.com/the-unicorn-devo-lays-off-15-of-its-global-team/,481,Series F,United States,0.15,,,,
GloriFi,TRUE,Dallas,Finance,,11/21/2022,https://www.wsj.com/articles/anti-woke-bank-glorifi-to-shut-down-11669051554,,Unknown,United States,1,,,,
Zomato,FALSE,Gurugram,Food,100,11/19/2022,https://www.businesstoday.in/latest/economy/story/after-byjus-now-zomato-fires-employees-about-100-jobs-impacted-so-far-report-353435-2022-11-19,914,Series J,India,0.04,,,,
Carvana,TRUE,Phoenix,Transportation,1500,11/18/2022,https://www.wsj.com/articles/carvana-plans-to-lay-off-1-500-employees-cites-economic-concerns-11668793114,1600,Post-IPO,United States,0.08,,CVNA,NYSE,FALSE
Nuro,TRUE,SF Bay Area,Transportation,300,11/18/2022,https://techcrunch.com/2022/11/18/autonomous-delivery-startup-nuro-lays-off-20-of-workforce/,2100,Series D,United States,0.2,,,,
Synthego,TRUE,SF Bay Area,Healthcare,105,11/18/2022,https://www.fiercebiotech.com/biotech/fierce-biotech-layoff-tracker-2022,459,Series E,United States,0.2,,,,
Splyt,FALSE,London,Transportation,57,11/18/2022,https://www.linkedin.com/posts/philipp-mintchin-27b0b943_since-the-beginning-of-the-pandemic-in-2020-activity-7000407838200147968-vFMO/,34,Series B,United Kingdom,,,,,
Capitolis,TRUE,New York City,Finance,,11/18/2022,https://www.risk.net/derivatives/7955234/capitolis-cuts-workforce-by-25-as-bear-market-bites,281,Series D,United States,0.25,,,,
Kavak,FALSE,Sao Paulo,Transportation,,11/18/2022,https://businessinsider.mx/kavak-despidos-compra-autos-crisis_negocios/,1600,Series E,Brazil,,,,,
Metaplex,TRUE,Chicago,Crypto,,11/18/2022,https://ambcrypto.com/solana-nft-protocol-metaplex-announces-layoffs-after-ftxs-collapse/,,Unknown,United States,,,,,
Ruangguru,FALSE,Jakarta,Education,,11/18/2022,https://www.techinasia.com/ruangguru-lays-hundreds-employees,205,Unknown,Indonesia,,,,,
StoryBlocks,TRUE,Washington D.C.,Media,,11/18/2022,https://www.linkedin.com/feed/update/urn:li:activity:6999412858606256129/,18,Acquired,United States,0.25,,,,
Unchained Capital,TRUE,Austin,Crypto,,11/18/2022,https://unchained.com/blog/update-from-our-ceo/,33,Series A,United States,0.15,,,,
Roku,TRUE,SF Bay Area,Media,200,11/17/2022,https://variety.com/2022/digital/news/roku-layoffs-200-employees-1235435468/amp/,208,Post-IPO,United States,0.07,,ROKU,NASDAQ,FALSE
Orchard,TRUE,New York City,Real Estate,180,11/17/2022,https://www.inman.com/2022/11/17/orchard-lays-off-180-workers-amid-historic-housing-disruption/,472,Series D,United States,,,,,
Homepoint,TRUE,Phoenix,Real Estate,113,11/17/2022,https://www.bizjournals.com/phoenix/news/2022/11/17/homepoint-laying-off-az-employees-interest-rates.html,,Post-IPO,United States,,,HMPT,NASDAQ,TRUE
Juni,FALSE,Gothenburg,Finance,72,11/17/2022,https://www.finextra.com/newsarticle/41340/juni-joins-fintech-bloodbath-lays-off-a-third-of-staff,281,Unknown,Sweden,0.33,,,,
Chili Piper,TRUE,New York City,Sales,58,11/17/2022,https://www.linkedin.com/feed/update/urn:li:activity:6999112600667983872/,54,Series B,United States,,,,,
Capitolis,TRUE,New York City,Finance,37,11/17/2022,https://www.themarker.com/technation/2022-11-17/ty-article/.premium/00000184-8592-d309-afe7-a597c17f0000,281,Series D,United States,0.25,,,,
TealBook,FALSE,Toronto,Other,34,11/17/2022,https://www-theglobeandmail-com.cdn.ampproject.org/c/s/www.theglobeandmail.com/amp/business/article-symend-tealbook-latest-canadian-tech-startups-to-cut-staff-amid-market/,73,Series B,Canada,0.19,,,,
Koho,FALSE,Toronto,Finance,15,11/17/2022,https://betakit.com/canadian-tech-layoffs-continue-as-tough-year-comes-to-a-close/,278,Series D,Canada,0.04,,,,
&Open,FALSE,Dublin,Marketing,9,11/17/2022,https://www.irishtimes.com/technology/2022/11/17/gifting-platform-open-to-cut-nine-roles-from-global-workforce/,35,Series A,Ireland,0.09,,,,
Kandji,TRUE,San Diego,Other,,11/17/2022,Internal memo,188,Series C,United States,0.17,,,,
Morning Brew,TRUE,New York City,Media,,11/17/2022,https://twitter.com/maxwelltani/status/1593236660627861504,,Acquired,United States,0.14,,,,
Symend,FALSE,Calgary,Other,,11/17/2022,https://www-theglobeandmail-com.cdn.ampproject.org/c/s/www.theglobeandmail.com/amp/business/article-symend-tealbook-latest-canadian-tech-startups-to-cut-staff-amid-market/,148,Series C,Canada,0.13,,,,
Amazon,TRUE,Seattle,Retail,10000,11/16/2022,https://www.nytimes.com/2022/11/14/technology/amazon-layoffs.html,108,Post-IPO,United States,0.03,,AMZN,NASDAQ,FALSE
Cisco,TRUE,SF Bay Area,Infrastructure,4100,11/16/2022,https://www.bizjournals.com/sanjose/news/2022/11/16/cisco-announces-600m-restructuring-layoffs.html,2,Post-IPO,United States,0.05,,CSCO,NASDAQ,FALSE
Twiga,FALSE,Nairobi,Food,211,11/16/2022,https://techcrunch.com/2022/11/16/kenyas-twiga-dismisses-in-house-sales-team-affecting-21-of-it-employees/,157,Series C,Kenya,0.21,,,,
